epoch,step,train/loss,valid/loss
234,937,0.5615713000297546,
234,939,0.479205846786499,
234,939,,0.5254276394844055
235,941,0.5047066807746887,
235,943,0.5857870578765869,
235,943,,0.514466404914856
236,945,0.5273006558418274,
236,947,0.5684109330177307,
236,947,,0.5153130888938904
237,949,0.5123182535171509,
237,951,0.5939114093780518,
237,951,,0.5591765642166138
238,953,0.5283398628234863,
238,955,0.5233729481697083,
238,955,,0.5154989957809448
239,957,0.5005431771278381,
239,959,0.5241488218307495,
239,959,,0.5068832039833069
240,961,0.5021976232528687,
240,963,0.5313373804092407,
240,963,,0.5322067141532898
241,965,0.4950813353061676,
241,967,0.5807297229766846,
241,967,,0.5200157165527344
242,969,0.5237772464752197,
242,971,0.5278067588806152,
242,971,,0.5007113218307495
243,973,0.4779496490955353,
243,975,0.4771561324596405,
243,975,,0.5595374703407288
244,977,0.5850400328636169,
244,979,0.5068134665489197,
244,979,,0.515653133392334
245,981,0.544579029083252,
245,983,0.4703931510448456,
245,983,,0.514236569404602
246,985,0.5147175788879395,
246,987,0.5157542824745178,
246,987,,0.5159030556678772
247,989,0.5077853798866272,
247,991,0.5427664518356323,
247,991,,0.5157769918441772
248,993,0.5322824716567993,
248,995,0.49429622292518616,
248,995,,0.5081499218940735
249,997,0.4872755706310272,
249,999,0.5044349431991577,
249,999,,0.5062611699104309
250,1001,0.47682783007621765,
250,1003,0.435498982667923,
250,1003,,0.5048714876174927
251,1005,0.45978063344955444,
251,1007,0.5688868761062622,
251,1007,,0.5092715620994568
252,1009,0.5197100043296814,
252,1011,0.4490257501602173,
252,1011,,0.5166810154914856
253,1013,0.5133059620857239,
253,1015,0.5146955251693726,
253,1015,,0.500842273235321
254,1017,0.4732235372066498,
254,1019,0.4385969340801239,
254,1019,,0.5131389498710632
255,1021,0.5078988075256348,
255,1023,0.4360017776489258,
255,1023,,0.49028530716896057
256,1025,0.5236105918884277,
256,1027,0.45070382952690125,
256,1027,,0.5406140685081482
257,1029,0.5869636535644531,
257,1031,0.4690604507923126,
257,1031,,0.5503484010696411
258,1033,0.6315378546714783,
258,1035,0.6220009922981262,
258,1035,,0.4916478991508484
259,1037,0.5716210603713989,
259,1039,0.5932644605636597,
259,1039,,0.6100072264671326
260,1041,0.5237023830413818,
260,1043,0.48092004656791687,
260,1043,,0.546558678150177
261,1045,0.534622073173523,
261,1047,0.49806666374206543,
261,1047,,0.4886349141597748
262,1049,0.4916739761829376,
262,1051,0.46973785758018494,
262,1051,,0.4935828149318695
263,1053,0.4848919212818146,
263,1055,0.4906509518623352,
263,1055,,0.5064087510108948
264,1057,0.5006076097488403,
264,1059,0.426771879196167,
264,1059,,0.5434510111808777
265,1061,0.5672104954719543,
265,1063,0.4130472242832184,
265,1063,,0.5061322450637817
266,1065,0.5609841346740723,
266,1067,0.4499322474002838,
266,1067,,0.4887853264808655
267,1069,0.5153024196624756,
267,1071,0.4562246799468994,
267,1071,,0.4887947738170624
268,1073,0.4701659083366394,
268,1075,0.5532298684120178,
268,1075,,0.48779675364494324
269,1077,0.4911712110042572,
269,1079,0.5046367645263672,
269,1079,,0.4877868592739105
270,1081,0.48021072149276733,
270,1083,0.5715860724449158,
270,1083,,0.503117024898529
271,1085,0.48717886209487915,
271,1087,0.4703468978404999,
271,1087,,0.5035486817359924
272,1089,0.4759579598903656,
272,1091,0.5220465064048767,
272,1091,,0.4812283217906952
273,1093,0.4743069112300873,
273,1095,0.5657564401626587,
273,1095,,0.5036793351173401
274,1097,0.47285985946655273,
274,1099,0.4084931015968323,
274,1099,,0.48448455333709717
275,1101,0.45711275935173035,
275,1103,0.4302063286304474,
275,1103,,0.4853997528553009
276,1105,0.4968409538269043,
276,1107,0.49113553762435913,
276,1107,,0.4957161843776703
277,1109,0.5067508816719055,
277,1111,0.5179468393325806,
277,1111,,0.48455655574798584
278,1113,0.4762100577354431,
278,1115,0.46252936124801636,
278,1115,,0.4770519733428955
279,1117,0.4800157845020294,
279,1119,0.4821533262729645,
279,1119,,0.4779289662837982
280,1121,0.4911530911922455,
280,1123,0.45160529017448425,
280,1123,,0.47285592555999756
281,1125,0.5102721452713013,
281,1127,0.4310401678085327,
281,1127,,0.5638934373855591
282,1129,0.6029706597328186,
282,1131,0.5347483158111572,
282,1131,,0.5249815583229065
283,1133,0.5354034900665283,
283,1135,0.5376123189926147,
283,1135,,0.5131959319114685
284,1137,0.5406867861747742,
284,1139,0.480540007352829,
284,1139,,0.4745584726333618
285,1141,0.47925490140914917,
285,1143,0.48035067319869995,
285,1143,,0.4703759253025055
286,1145,0.4940248429775238,
286,1147,0.42495694756507874,
286,1147,,0.47879257798194885
287,1149,0.47018352150917053,
287,1151,0.5621902942657471,
287,1151,,0.4976573586463928
288,1153,0.47099387645721436,
288,1155,0.5379308462142944,
288,1155,,0.5384426116943359
289,1157,0.47883227467536926,
289,1159,0.4690304696559906,
289,1159,,0.48952075839042664
290,1161,0.4739261269569397,
290,1163,0.6174052357673645,
290,1163,,0.5357511043548584
291,1165,0.447442889213562,
291,1167,0.5667123198509216,
291,1167,,0.482982337474823
292,1169,0.4637869894504547,
292,1171,0.4897893965244293,
292,1171,,0.5406409502029419
293,1173,0.4917718470096588,
293,1175,0.5989114046096802,
293,1175,,0.4896935522556305
294,1177,0.45109108090400696,
294,1179,0.5125396847724915,
294,1179,,0.5216192007064819
295,1181,0.464434951543808,
295,1183,0.44691383838653564,
295,1183,,0.5002360939979553
296,1185,0.46401989459991455,
296,1187,0.47917646169662476,
296,1187,,0.4966748356819153
297,1189,0.45956239104270935,
297,1191,0.5245897173881531,
297,1191,,0.5076642036437988
298,1193,0.48179298639297485,
298,1195,0.4880962371826172,
298,1195,,0.4996137320995331
299,1197,0.4560537338256836,
299,1199,0.5126757025718689,
299,1199,,0.5063479542732239
